phbarc;phprsu;phcolp;phcocp;phlebi;phlesu;phadul;phfpre;phcocs;tititu;tiauto;Mes;Año
100072878;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;5/03/2025;T    ;El mito del maestro : los grandes directores de orquesta y s;Lebrecht, Norman (1948-);3;2025
1300024047;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;V    ;The metamorphosis : a dance- theatre adaptation after Franz;;3;2025
2074967;BTM   ;USU  ;MT   ;BHM   ;BHM   ;1;5/03/2025;T    ;Diccionario de bibliolog?a y ciencias afines :terminolog?a r;Mart?nez de Sousa, Jos? (1933-);3;2025
1000003832;ATM   ;AYU  ;MOA  ;ATM   ;ATM   ;1;5/03/2025;T    ;Democracia y reformas del poder local / ;;3;2025
1401236007;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;T    ;Cl?sicas y modernas : historias de mujeres y m?sica /;Palma, Vict?ria (1965-);3;2025
1000003833;ATM   ;ATM  ;MOAP ;ATM   ;ATM   ;1;10/03/2025;T    ;Imposici?n municipal : valoraci?n y propuestas para una refo;;3;2025
100767732;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;5/03/2025;T    ;Gu?a para conocer la salsa /;L?pez Vilalta, Mar?a Jos?.;3;2025
1401233279;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;S    ;Musica Maravillosa. /;;3;2025
30212;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;S    ;Zarzuela : Luis Cobos dirige The Royal Philarmonic Orchestra;Cobos, Lu;3;2025
1401232120;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;S    ;Live at the bouffes du nord [;Milva (1939-2021);3;2025
100774903;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;5/03/2025;T    ;Interpretaci?n de las danzas del Renacimiento y Barroco /;Horst, Louis (1884-1964);3;2025
30808;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;5/03/2025;P    ;Shostakovich contra Stalin: (Cuarteto de la guerra III) / ;G?ell, Xavier (1950-);3;2025
100784096;BMM   ;;MA   ;;;;6/03/2025;Q    ;The new real book : jazz classics : choice standards : pop-f;;3;2025
101487428;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;6/03/2025;Q    ;Arias antiguas para canto y piano. Volumen I /;;3;2025
100330420;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;6/03/2025;Q    ;Symphonies : Nos.3 and 4 /;Mahler, Gustav (1860-1911);3;2025
1800340442;BTM   ;USU  ;MT   ;BMM   ;BMM   ;1;7/03/2025;T    ;Personal de Oficios. Servicios Internos. Cuestionarios. Ayun;;3;2025
283144;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;7/03/2025;S    ;Conciertos para instrumentos de viento /;Vivaldi, Antonio (1678-1741);3;2025
287599;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;T    ;Viol?n : 19 temas espec?ficos de la especialidad para oposic;Rodr?guez Adame, Elena (1983-);3;2025
30821;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;7/03/2025;T    ;El violinista de Mauthausen / ;P?rez Dom?nguez, Andr?s (1969-);3;2025
